date,areaType,areaCode,areaName,newCasesBySpecimenDate
30/01/2020,region,E12000003,Yorkshire and The Humber,1
31/01/2020,region,E12000003,Yorkshire and The Humber,0
01/02/2020,region,E12000003,Yorkshire and The Humber,0
02/02/2020,region,E12000003,Yorkshire and The Humber,0
03/02/2020,region,E12000003,Yorkshire and The Humber,0
04/02/2020,region,E12000003,Yorkshire and The Humber,0
05/02/2020,region,E12000008,South East,1
05/02/2020,region,E12000003,Yorkshire and The Humber,0
06/02/2020,region,E12000008,South East,0
06/02/2020,region,E12000003,Yorkshire and The Humber,0
07/02/2020,region,E12000008,South East,0
07/02/2020,region,E12000003,Yorkshire and The Humber,0
08/02/2020,region,E12000008,South East,4
08/02/2020,region,E12000003,Yorkshire and The Humber,0
09/02/2020,region,E12000008,South East,1
09/02/2020,region,E12000003,Yorkshire and The Humber,0
10/02/2020,region,E12000008,South East,0
10/02/2020,region,E12000003,Yorkshire and The Humber,0
11/02/2020,region,E12000007,London,1
11/02/2020,region,E12000008,South East,0
11/02/2020,region,E12000003,Yorkshire and The Humber,0
12/02/2020,region,E12000007,London,0
12/02/2020,region,E12000008,South East,0
12/02/2020,region,E12000003,Yorkshire and The Humber,0
13/02/2020,region,E12000007,London,0
13/02/2020,region,E12000008,South East,0
13/02/2020,region,E12000003,Yorkshire and The Humber,0
14/02/2020,region,E12000007,London,0
14/02/2020,region,E12000008,South East,0
14/02/2020,region,E12000003,Yorkshire and The Humber,0
15/02/2020,region,E12000007,London,0
15/02/2020,region,E12000008,South East,0
15/02/2020,region,E12000003,Yorkshire and The Humber,0
16/02/2020,region,E12000007,London,0
16/02/2020,region,E12000008,South East,0
16/02/2020,region,E12000003,Yorkshire and The Humber,0
17/02/2020,region,E12000007,London,0
17/02/2020,region,E12000008,South East,0
17/02/2020,region,E12000003,Yorkshire and The Humber,0
18/02/2020,region,E12000007,London,0
18/02/2020,region,E12000008,South East,0
18/02/2020,region,E12000003,Yorkshire and The Humber,0
19/02/2020,region,E12000007,London,0
19/02/2020,region,E12000008,South East,0
19/02/2020,region,E12000003,Yorkshire and The Humber,0
20/02/2020,region,E12000007,London,0
20/02/2020,region,E12000008,South East,0
20/02/2020,region,E12000003,Yorkshire and The Humber,0
21/02/2020,region,E12000004,East Midlands,1
21/02/2020,region,E12000007,London,0
21/02/2020,region,E12000008,South East,0
21/02/2020,region,E12000003,Yorkshire and The Humber,0
22/02/2020,region,E12000004,East Midlands,0
22/02/2020,region,E12000007,London,0
22/02/2020,region,E12000008,South East,0
22/02/2020,region,E12000003,Yorkshire and The Humber,0
23/02/2020,region,E12000004,East Midlands,0
23/02/2020,region,E12000007,London,0
23/02/2020,region,E12000008,South East,1
23/02/2020,region,E12000003,Yorkshire and The Humber,0
24/02/2020,region,E12000004,East Midlands,0
24/02/2020,region,E12000007,London,1
24/02/2020,region,E12000008,South East,1
24/02/2020,region,E12000003,Yorkshire and The Humber,0
25/02/2020,region,E12000004,East Midlands,1
25/02/2020,region,E12000007,London,3
25/02/2020,region,E12000008,South East,1
25/02/2020,region,E12000003,Yorkshire and The Humber,0
26/02/2020,region,E12000004,East Midlands,0
26/02/2020,region,E12000007,London,2
26/02/2020,region,E12000009,South West,1
26/02/2020,region,E12000008,South East,0
26/02/2020,region,E12000003,Yorkshire and The Humber,0
26/02/2020,region,E12000006,East of England,1
27/02/2020,region,E12000004,East Midlands,0
27/02/2020,region,E12000007,London,2
27/02/2020,region,E12000009,South West,1
27/02/2020,region,E12000008,South East,2
27/02/2020,region,E12000003,Yorkshire and The Humber,1
27/02/2020,region,E12000006,East of England,1
28/02/2020,region,E12000004,East Midlands,1
28/02/2020,region,E12000007,London,3
28/02/2020,region,E12000002,North West,1
28/02/2020,region,E12000009,South West,0
28/02/2020,region,E12000008,South East,2
28/02/2020,region,E12000003,Yorkshire and The Humber,2
28/02/2020,region,E12000006,East of England,2
29/02/2020,region,E12000004,East Midlands,1
29/02/2020,region,E12000007,London,1
29/02/2020,region,E12000002,North West,0
29/02/2020,region,E12000009,South West,0
29/02/2020,region,E12000008,South East,2
29/02/2020,region,E12000003,Yorkshire and The Humber,0
29/02/2020,region,E12000006,East of England,0
01/03/2020,region,E12000005,West Midlands,2
01/03/2020,region,E12000004,East Midlands,1
01/03/2020,region,E12000007,London,4
01/03/2020,region,E12000002,North West,7
01/03/2020,region,E12000009,South West,3
01/03/2020,region,E12000008,South East,0
01/03/2020,region,E12000003,Yorkshire and The Humber,2
01/03/2020,region,E12000006,East of England,1
02/03/2020,region,E12000005,West Midlands,4
02/03/2020,region,E12000001,North East,1
02/03/2020,region,E12000004,East Midlands,2
02/03/2020,region,E12000007,London,12
02/03/2020,region,E12000002,North West,6
02/03/2020,region,E12000009,South West,8
02/03/2020,region,E12000008,South East,1
02/03/2020,region,E12000003,Yorkshire and The Humber,3
02/03/2020,region,E12000006,East of England,0
03/03/2020,region,E12000005,West Midlands,1
03/03/2020,region,E12000001,North East,0
03/03/2020,region,E12000004,East Midlands,7
03/03/2020,region,E12000007,London,6
03/03/2020,region,E12000002,North West,7
03/03/2020,region,E12000009,South West,10
03/03/2020,region,E12000008,South East,9
03/03/2020,region,E12000003,Yorkshire and The Humber,5
03/03/2020,region,E12000006,East of England,7
04/03/2020,region,E12000005,West Midlands,3
04/03/2020,region,E12000001,North East,1
04/03/2020,region,E12000004,East Midlands,2
04/03/2020,region,E12000007,London,18
04/03/2020,region,E12000002,North West,2
04/03/2020,region,E12000009,South West,6
04/03/2020,region,E12000008,South East,7
04/03/2020,region,E12000003,Yorkshire and The Humber,2
04/03/2020,region,E12000006,East of England,7
05/03/2020,region,E12000005,West Midlands,6
05/03/2020,region,E12000001,North East,2
05/03/2020,region,E12000004,East Midlands,3
05/03/2020,region,E12000007,London,14
05/03/2020,region,E12000002,North West,10
05/03/2020,region,E12000009,South West,3
05/03/2020,region,E12000008,South East,5
05/03/2020,region,E12000003,Yorkshire and The Humber,1
05/03/2020,region,E12000006,East of England,1
06/03/2020,region,E12000005,West Midlands,2
06/03/2020,region,E12000001,North East,1
06/03/2020,region,E12000004,East Midlands,7
06/03/2020,region,E12000007,London,24
06/03/2020,region,E12000002,North West,2
06/03/2020,region,E12000009,South West,11
06/03/2020,region,E12000008,South East,16
06/03/2020,region,E12000003,Yorkshire and The Humber,1
06/03/2020,region,E12000006,East of England,5
07/03/2020,region,E12000005,West Midlands,6
07/03/2020,region,E12000001,North East,2
07/03/2020,region,E12000004,East Midlands,5
07/03/2020,region,E12000007,London,15
07/03/2020,region,E12000002,North West,9
07/03/2020,region,E12000009,South West,5
07/03/2020,region,E12000008,South East,4
07/03/2020,region,E12000003,Yorkshire and The Humber,5
07/03/2020,region,E12000006,East of England,3
08/03/2020,region,E12000005,West Midlands,4
08/03/2020,region,E12000001,North East,0
08/03/2020,region,E12000004,East Midlands,1
